Truth,Decoded
Salve quanto costa quell articolo,e lo e si si mario
E in offerta costa dieci euro,preorere certo
Tutto bene grazie,un e grazie
Prendiamo un caffe al bar,prego e lo bar
"Certo volentieri, io lo prendero macchiato",pero io e si mehao
A che ora arriva il pullman,certo due
Dovrebbe arrivare tra qualche minuto,prego ora le lo
Quanto costa il biglietto,tu io io begreto
Purtroppo non lo so pero potresti chiedere all autista,prego lo lo lo lo so rerieriere lo lo autista
Va bene grazie lo stesso,un e rireso
Prego,prego
Perfetto vorrei comprarne due.,preobe lo
Certo ecco a lei vuole un sacchetto,e a due so
Si grazie e arrivederci,e e e aririei
Le auguro una buona giornata,a a a io nata
Buongiorno io sono Mario,ruoioiatio
Buonasera io sono Mario,io mario
Piacere Luigi come stai,preori io e
Tutto bene tu,un bene
