Truth,Decoded
Salve quanto costa quell articolo,bar a so a il riceo
E in offerta costa dieci euro,prereroe rchto
Tutto bene grazie,e grazie
Prendiamo un caffe al bar,e si a e lo bar
"Certo volentieri, io lo prendero macchiato",pero io io e so micha
A che ora arriva il pullman,e ora io le
Dovrebbe arrivare tra qualche minuto,dereri e a due minuto
Quanto costa il biglietto,una costa e biegieto
Purtroppo non lo so pero potresti chiedere all autista,pero sono lo so so redri ehiere autista
Va bene grazie lo stesso,a e grere e rireso
Prego,prego
Perfetto vorrei comprarne due.,pretorome lo
Certo ecco a lei vuole un sacchetto,bene a io un so
Si grazie e arrivederci,si e aririei
Le auguro una buona giornata,a e a euro un lo giornata
Buongiorno io sono Mario,buona io
Buonasera io sono Mario,buioario
Piacere Luigi come stai,pareuiri io stai
Tutto bene tu,lo bene
