Truth,Decoded
Salve quanto costa quell articolo,e mario e e il io
E in offerta costa dieci euro,prereri rhuto
Tutto bene grazie,uteatie
Prendiamo un caffe al bar,preiri io lo a
"Certo volentieri, io lo prendero macchiato",prego io io so michao
A che ora arriva il pullman,e a a due
Dovrebbe arrivare tra qualche minuto,due si si a due certo
Quanto costa il biglietto,tu a si e biglietto
Purtroppo non lo so pero potresti chiedere all autista,prego lo lo lo so so lei riere autista
Va bene grazie lo stesso,un e bene e rireso
Prego,prego
Perfetto vorrei comprarne due.,preoirober lo
Certo ecco a lei vuole un sacchetto,e a a un so
Si grazie e arrivederci,e e aririreai
Le auguro una buona giornata,a mario a lo nata
Buongiorno io sono Mario,buona lo
Buonasera io sono Mario,buioario
Piacere Luigi come stai,preiri io e
Tutto bene tu,lo bene
