Truth,Decoded
Salve quanto costa quell articolo,un utota una articolo
E in offerta costa dieci euro,le a costa deciceuro
Tutto bene grazie,un bene grazie
Prendiamo un caffe al bar,prego un e lo bar
"Certo volentieri, io lo prendero macchiato",lo coeieio lo prendero macchiato
A che ora arriva il pullman,a e a arval un
Dovrebbe arrivare tra qualche minuto,due rivre a le minuto
Quanto costa il biglietto,untota io biglietto
Purtroppo non lo so pero potresti chiedere all autista,purtonon lo so lo ora che che lo autista
Va bene grazie lo stesso,bene grazie a sono
Prego,prego
Perfetto vorrei comprarne due.,peretororo lo tutto
Certo ecco a lei vuole un sacchetto,certo lo a le vuole un scheto
Si grazie e arrivederci,si e e arivei
Le auguro una buona giornata,euro un un giornata
Buongiorno io sono Mario,buona lo sono mario
Buonasera io sono Mario,buonasera io sono mario
Piacere Luigi come stai,piereuigi lo stai
Tutto bene tu,lo bene tu
