Truth,Decoded
Salve quanto costa quell articolo,certo so a lo
E in offerta costa dieci euro,e bene e ririuto
Tutto bene grazie,e e gata
Prendiamo un caffe al bar,e lo lo bar
"Certo volentieri, io lo prendero macchiato",preoiro roromecto
A che ora arriva il pullman,e araul a
Dovrebbe arrivare tra qualche minuto,prego ora ora le lo
Quanto costa il biglietto,lo io si io
Purtroppo non lo so pero potresti chiedere all autista,prego lo lo lo e riere lo autista
Va bene grazie lo stesso,e gregre lo
Prego,euro
Perfetto vorrei comprarne due.,reoriroeito
Certo ecco a lei vuole un sacchetto,certo a un e e lo
Si grazie e arrivederci,e e lei
Le auguro una buona giornata,pugunun un giornata
Buongiorno io sono Mario,lo lo mario
Buonasera io sono Mario,lo lo lo
Piacere Luigi come stai,prego lo bar
Tutto bene tu,un e lo
