Truth,Decoded
Salve quanto costa quell articolo,e e e a si lo
E in offerta costa dieci euro,e e lo e sesicuto
Tutto bene grazie,e e e
Prendiamo un caffe al bar,prego lo a e bar
"Certo volentieri, io lo prendero macchiato",e oriro ronromecto
A che ora arriva il pullman,a ariaul un
Dovrebbe arrivare tra qualche minuto,due a il due e lo
Quanto costa il biglietto,lo io e certo
Purtroppo non lo so pero potresti chiedere all autista,prego lo lo lo lo e si che il autista
Va bene grazie lo stesso,e e e e so
Prego,euro
Perfetto vorrei comprarne due.,reororeito
Certo ecco a lei vuole un sacchetto,e a ugre e lo
Si grazie e arrivederci,e e mario
Le auguro una buona giornata,un un un giornata
Buongiorno io sono Mario,un lo mario
Buonasera io sono Mario,un io lo mario
Piacere Luigi come stai,prego bar
Tutto bene tu,un bene lo
