Truth,Decoded
Salve quanto costa quell articolo,lo utota un lo articolo
E in offerta costa dieci euro,le tra costa diecicuro
Tutto bene grazie,lo bene grazie
Prendiamo un caffe al bar,prego un che lo bar
"Certo volentieri, io lo prendero macchiato",certo lei io lo lo prendero macchiato
A che ora arriva il pullman,a e a arriva pullman
Dovrebbe arrivare tra qualche minuto,dovrebbe rivre a le minuto
Quanto costa il biglietto,utntocota io biglietto
Purtroppo non lo so pero potresti chiedere all autista,purtoropronron lo so pero poriehie che lo autista
Va bene grazie lo stesso,va bene grazie le sono
Prego,prego
Perfetto vorrei comprarne due.,peretoro lo lo lo
Certo ecco a lei vuole un sacchetto,certo lo a le vuole un sacchetto
Si grazie e arrivederci,si e arivededi
Le auguro una buona giornata,euro un un giornata
Buongiorno io sono Mario,buona io sono mario
Buonasera io sono Mario,buonasera io sono mario
Piacere Luigi come stai,piaereuigi lo stai
Tutto bene tu,lo bene tu
