Truth,Decoded
Salve quanto costa quell articolo,salve utota il articolo
E in offerta costa dieci euro,lei ora costa dieci euro
Tutto bene grazie,tutto bene grazie
Prendiamo un caffe al bar,e io un che al bar
"Certo volentieri, io lo prendero macchiato",certo volentieri io lo prendero macchiato
A che ora arriva il pullman,a e arriva lo pullman
Dovrebbe arrivare tra qualche minuto,dovrebbe rivre a qualche minuto
Quanto costa il biglietto,quanto costa io biglietto
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so io potredhidehe il autista
Va bene grazie lo stesso,va bene grazie lo stesso
Prego,prego
Perfetto vorrei comprarne due.,peretvororo croecue
Certo ecco a lei vuole un sacchetto,certo io a le vuole un sacchetto
Si grazie e arrivederci,si e e arivedei
Le auguro una buona giornata,auguro un buona giornata
Buongiorno io sono Mario,buongiorno io sono mario
Buonasera io sono Mario,buonasera io sono mario
Piacere Luigi come stai,piacere luigi come stai
Tutto bene tu,tutto bene tu
