Truth,Decoded
Salve quanto costa quell articolo,bar quanto costa il mario
E in offerta costa dieci euro,pero rtacroti direchiuto
Tutto bene grazie,io bene grazie
Prendiamo un caffe al bar,prego io un che al bar
"Certo volentieri, io lo prendero macchiato",certo votiri io lo prego maclato
A che ora arriva il pullman,e mario va il pluae
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare a qualcecheminuto
Quanto costa il biglietto,un costa io biglietto
Purtroppo non lo so pero potresti chiedere all autista,puruopo non lo so pero potresti hiere lo autista
Va bene grazie lo stesso,va bene io grazie e lo sono
Prego,prego
Perfetto vorrei comprarne due.,peretvorori comprarne un
Certo ecco a lei vuole un sacchetto,certo a si vuole un saceto
Si grazie e arrivederci,si grazie e arrivederci
Le auguro una buona giornata,le auguro una una giornata
Buongiorno io sono Mario,buongiorno io so a mario
Buonasera io sono Mario,buonasera sono mario
Piacere Luigi come stai,piacere luigi come stai
Tutto bene tu,io bene so
