Truth,Decoded
Salve quanto costa quell articolo,salve quanto costa il articolo
E in offerta costa dieci euro,pereortarotia direchieiuro
Tutto bene grazie,tu bene grazie
Prendiamo un caffe al bar,prenei io un cfeal bar
"Certo volentieri, io lo prendero macchiato",certo volentieri io lo prendero machao
A che ora arriva il pullman,a e ora va io pulmuae
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra qualche minuto
Quanto costa il biglietto,quanto costa il biglietto
Purtroppo non lo so pero potresti chiedere all autista,puropo non lo so io potresti chiedere lo autista
Va bene grazie lo stesso,va bene io grazie e lo sono
Prego,prego
Perfetto vorrei comprarne due.,peretvororei comprarne un
Certo ecco a lei vuole un sacchetto,certo a lo vuole un saceto
Si grazie e arrivederci,si grazie e arivedecei
Le auguro una buona giornata,le auguro una buona giornata
Buongiorno io sono Mario,buongiorno io sono mario
Buonasera io sono Mario,buonasera sono mario
Piacere Luigi come stai,piacere luigi come stai
Tutto bene tu,tutto bene tu
