Truth,Decoded
Salve quanto costa quell articolo,pero uauat io stai il aricro
E in offerta costa dieci euro,perertcroti drecreiuto
Tutto bene grazie,io bene grazie
Prendiamo un caffe al bar,lei a un a lo bar
"Certo volentieri, io lo prendero macchiato",pero lei io lo lriero mactao
A che ora arriva il pullman,reirara va pluae
Dovrebbe arrivare tra qualche minuto,doererari e a vuole minuto
Quanto costa il biglietto,a a costa si biglietto
Purtroppo non lo so pero potresti chiedere all autista,puruopo non io so pero potresti ehiere lo autista
Va bene grazie lo stesso,varen io e a e stesso
Prego,prego
Perfetto vorrei comprarne due.,perfetto lo omian un
Certo ecco a lei vuole un sacchetto,certo lo a le a saceto
Si grazie e arrivederci,si e e arivedei
Le auguro una buona giornata,e euro un una giornata
Buongiorno io sono Mario,buoniriso io
Buonasera io sono Mario,buonserison mario
Piacere Luigi come stai,piacere luigi io io stai
Tutto bene tu,tutto bene io
