Truth,Decoded
Salve quanto costa quell articolo,salve quanto costa il ricro
E in offerta costa dieci euro,perertrot driechiuto
Tutto bene grazie,io bene grazie
Prendiamo un caffe al bar,lei a un a lo bar
"Certo volentieri, io lo prendero macchiato",certo uoti io lo ecco mactato
A che ora arriva il pullman,retrara va pluae
Dovrebbe arrivare tra qualche minuto,doererivre a quaeheinuto
Quanto costa il biglietto,un costa si biglietto
Purtroppo non lo so pero potresti chiedere all autista,puruoponon io so so potresti shiere lo autista
Va bene grazie lo stesso,un si e a sono
Prego,prego
Perfetto vorrei comprarne due.,prego lo io
Certo ecco a lei vuole un sacchetto,certo e un io a certo
Si grazie e arrivederci,si e e arivei
Le auguro una buona giornata,e a euro un io giornata
Buongiorno io sono Mario,buonioioco io
Buonasera io sono Mario,buonserioson mario
Piacere Luigi come stai,piacere uiricomi stai
Tutto bene tu,io bene
