Truth,Decoded
Salve quanto costa quell articolo,all utota il lo articolo
E in offerta costa dieci euro,le ora costa dieci euro
Tutto bene grazie,io bene grazie
Prendiamo un caffe al bar,prego un che al bar
"Certo volentieri, io lo prendero macchiato",certo volentieri io lo prendero macchiato
A che ora arriva il pullman,a a a arriva lo pullman
Dovrebbe arrivare tra qualche minuto,dovrebbe rivre a che minuto
Quanto costa il biglietto,quanto ora io biglietto
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non io so pero potriehie che lo autista
Va bene grazie lo stesso,va bene grazie lo sono
Prego,prego
Perfetto vorrei comprarne due.,peretvoro io croecue
Certo ecco a lei vuole un sacchetto,certo io a le vuole a sacchetto
Si grazie e arrivederci,si e e arivedei
Le auguro una buona giornata,le auguro un buona giornata
Buongiorno io sono Mario,buoniro io sono mario
Buonasera io sono Mario,buonasera io sono mario
Piacere Luigi come stai,piacere luigi io stai
Tutto bene tu,tutto bene tu
