Truth,Decoded
Salve quanto costa quell articolo,salve quanto costa quell mario
E in offerta costa dieci euro,pero rtarotia direciciuto
Tutto bene grazie,tu bene grazie
Prendiamo un caffe al bar,prego io un cfeal bar
"Certo volentieri, io lo prendero macchiato",certo volentieri io lo prendero macchiato
A che ora arriva il pullman,a e ora va il pumuae
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra qualche minuto
Quanto costa il biglietto,quanto io costa il biglietto
Purtroppo non lo so pero potresti chiedere all autista,puropo non lo so pero potresti chiedere al autista
Va bene grazie lo stesso,va bene io grazie e lo sono
Prego,prego
Perfetto vorrei comprarne due.,peretvorori comprarne un
Certo ecco a lei vuole un sacchetto,certo ecco lo vuole un saceto
Si grazie e arrivederci,si grazie si arrivederci
Le auguro una buona giornata,le auguro un buona giornata
Buongiorno io sono Mario,buongiorno io sono mario
Buonasera io sono Mario,buonasera sono mario
Piacere Luigi come stai,piacere luigi come stai
Tutto bene tu,tutto bene tu
