Truth,Decoded
Salve quanto costa quell articolo,piacere quanto costa il aricho
E in offerta costa dieci euro,pero rtcroti direchieiuto
Tutto bene grazie,tutto bene grazie
Prendiamo un caffe al bar,lei io un che al bar
"Certo volentieri, io lo prendero macchiato",certo otiri io lo prego mactato
A che ora arriva il pullman,e mario va io pluae
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare a quacecheminuto
Quanto costa il biglietto,tu io costa io biglietto
Purtroppo non lo so pero potresti chiedere all autista,puruopo non io so pero potresti siere lo autista
Va bene grazie lo stesso,va bene io grere e le sono
Prego,prego
Perfetto vorrei comprarne due.,peretiori comprarne un
Certo ecco a lei vuole un sacchetto,certo io a si vuole a saceto
Si grazie e arrivederci,si grazie e arivedei
Le auguro una buona giornata,e auguro a una giornata
Buongiorno io sono Mario,buongiri io so io io
Buonasera io sono Mario,buonserioson mario
Piacere Luigi come stai,piacere luigi come stai
Tutto bene tu,tutto bene io
