Truth,Decoded
Salve quanto costa quell articolo,lo tutto il lo mario
E in offerta costa dieci euro,le io costa dieciceuro
Tutto bene grazie,un bene grazie
Prendiamo un caffe al bar,prego un che al bar
"Certo volentieri, io lo prendero macchiato",certo coeriei io lo prendero macchiato
A che ora arriva il pullman,a e arial pullman
Dovrebbe arrivare tra qualche minuto,dovrebbe riare a uaheinuto
Quanto costa il biglietto,un ora si biglietto
Purtroppo non lo so pero potresti chiedere all autista,purtroppo un lo so so potri si che lo autista
Va bene grazie lo stesso,va e grazie lo sono
Prego,prego
Perfetto vorrei comprarne due.,peretoro cocuto
Certo ecco a lei vuole un sacchetto,bene io a le vuole a sacchetto
Si grazie e arrivederci,si e e arivei
Le auguro una buona giornata,leaguro un buona giornata
Buongiorno io sono Mario,buona io sono mario
Buonasera io sono Mario,buonasera io sono mario
Piacere Luigi come stai,piaereuigi io stai
Tutto bene tu,io bene tu
