Truth,Decoded
Salve quanto costa quell articolo,salve io io stai il aricro
E in offerta costa dieci euro,pero rtcroti drecieiuto
Tutto bene grazie,io bene grazie
Prendiamo un caffe al bar,lei io un a all bar
"Certo volentieri, io lo prendero macchiato",pero io si io lo proneo mactato
A che ora arriva il pullman,e mario va io pluae
Dovrebbe arrivare tra qualche minuto,doerebi mario va a che minuto
Quanto costa il biglietto,un costa si biglietto
Purtroppo non lo so pero potresti chiedere all autista,puruopo non io so so potresti shiere lo autista
Va bene grazie lo stesso,va lei io bene a le sono
Prego,prego
Perfetto vorrei comprarne due.,peretoio lo comian un
Certo ecco a lei vuole un sacchetto,certo ora io vuole a saceto
Si grazie e arrivederci,si e e arivedei
Le auguro una buona giornata,le auguro a una giornata
Buongiorno io sono Mario,buongir io io io
Buonasera io sono Mario,buonserison mario
Piacere Luigi come stai,piacere luigi io si stai
Tutto bene tu,io benesto
