Truth,Decoded
Salve quanto costa quell articolo,salve quanto io stai il aricro
E in offerta costa dieci euro,pero rtcroti drechieiuto
Tutto bene grazie,un bene grazie
Prendiamo un caffe al bar,lei a un a al bar
"Certo volentieri, io lo prendero macchiato",certo io io lo prego mactato
A che ora arriva il pullman,e mario va in due
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare a quaeheminuto
Quanto costa il biglietto,tu costa io biglietto
Purtroppo non lo so pero potresti chiedere all autista,puruopo non io so pero potresti siere lo autista
Va bene grazie lo stesso,va lei io grer le sono
Prego,prego
Perfetto vorrei comprarne due.,peretbio lo comiarn un
Certo ecco a lei vuole un sacchetto,certo a io vuole un saceto
Si grazie e arrivederci,si e e arivedei
Le auguro una buona giornata,e euro un una giornata
Buongiorno io sono Mario,buongir io so io
Buonasera io sono Mario,buonserison mario
Piacere Luigi come stai,piacere luigi come stai
Tutto bene tu,tutto bene
