Truth,Decoded
Salve quanto costa quell articolo,salve io io stai il ricro
E in offerta costa dieci euro,perertcroti drecreiuto
Tutto bene grazie,io bene grazie
Prendiamo un caffe al bar,pero a un a al bar
"Certo volentieri, io lo prendero macchiato",certo si io lo prego mactao
A che ora arriva il pullman,rerara va io pluae
Dovrebbe arrivare tra qualche minuto,doererari va a vuole minuto
Quanto costa il biglietto,a costa si biglietto
Purtroppo non lo so pero potresti chiedere all autista,puruopo non io so so potresti shiere autista
Va bene grazie lo stesso,va le si e a a stesso
Prego,prego
Perfetto vorrei comprarne due.,perfetto lo comiar un
Certo ecco a lei vuole un sacchetto,certo a io vuole a saceto
Si grazie e arrivederci,si e e arivedei
Le auguro una buona giornata,e a euro un io giornata
Buongiorno io sono Mario,buona io so io
Buonasera io sono Mario,buonsrioso mario
Piacere Luigi come stai,piacere uircimi stai
Tutto bene tu,tutto bene io
