Truth,Decoded
Salve quanto costa quell articolo,salve io io stai il mario
E in offerta costa dieci euro,pero rtcroti drecriuto
Tutto bene grazie,io bene grazie
Prendiamo un caffe al bar,lei a un a al bar
"Certo volentieri, io lo prendero macchiato",certo vorrei io lo prego mario
A che ora arriva il pullman,e bar va a plmuaze
Dovrebbe arrivare tra qualche minuto,dovrebbe mario va a a minuto
Quanto costa il biglietto,un costa io biglietto
Purtroppo non lo so pero potresti chiedere all autista,puruopo non io so so potresti shiere lo autista
Va bene grazie lo stesso,va lei io e a stesso
Prego,prego
Perfetto vorrei comprarne due.,peretbio lo comiarn un
Certo ecco a lei vuole un sacchetto,certo a un vuole a saceto
Si grazie e arrivederci,si e e arivedei
Le auguro una buona giornata,le euro un una giornata
Buongiorno io sono Mario,buongor io io
Buonasera io sono Mario,buonasera sono mario
Piacere Luigi come stai,piacere luigi io si stai
Tutto bene tu,io bene io
