Truth,Decoded
Salve quanto costa quell articolo,lo tutto il lo articolo
E in offerta costa dieci euro,e lei ora costa dieci euro
Tutto bene grazie,io bene grazie
Prendiamo un caffe al bar,prego un che al bar
"Certo volentieri, io lo prendero macchiato",certo volentieri io lo prendero macchiato
A che ora arriva il pullman,a e arriva lo pullman
Dovrebbe arrivare tra qualche minuto,dovrebbe rivre a qualche minuto
Quanto costa il biglietto,utntocota io biglietto
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non io so pero potrethiedere lo autista
Va bene grazie lo stesso,va bene grazie lo stesso
Prego,prego
Perfetto vorrei comprarne due.,peretocorero cronecue
Certo ecco a lei vuole un sacchetto,certo io a le vuole un sacchetto
Si grazie e arrivederci,si e e arrivederci
Le auguro una buona giornata,le auguro un non giornata
Buongiorno io sono Mario,buongiorno io sono mario
Buonasera io sono Mario,buonasera io sono mario
Piacere Luigi come stai,piaereuigi come stai
Tutto bene tu,io bene tu
