Truth,Decoded
Salve quanto costa quell articolo,salve quanto costa il mario
E in offerta costa dieci euro,perertcroti dieciuto
Tutto bene grazie,tutto bene grazie
Prendiamo un caffe al bar,lei io un cfeal bar
"Certo volentieri, io lo prendero macchiato",certo io io lo prego mactato
A che ora arriva il pullman,e mario va io due
Dovrebbe arrivare tra qualche minuto,dovrebbe rivre a qualche minuto
Quanto costa il biglietto,tu costa io biglietto
Purtroppo non lo so pero potresti chiedere all autista,puruopo non lo so pero potresti shiere lo autista
Va bene grazie lo stesso,va lei io grazie e lo sono
Prego,prego
Perfetto vorrei comprarne due.,peretbioi comiarn un
Certo ecco a lei vuole un sacchetto,certo a si vuole un saceto
Si grazie e arrivederci,si grazie e arivedei
Le auguro una buona giornata,le auguro un una giornata
Buongiorno io sono Mario,buongiorno io so io
Buonasera io sono Mario,buonserso mario
Piacere Luigi come stai,piacere luigi come stai
Tutto bene tu,tutto bene tu
