Truth,Decoded
Salve quanto costa quell articolo,salve io io stai il mario
E in offerta costa dieci euro,perertcroti dreciuto
Tutto bene grazie,io bene grazie
Prendiamo un caffe al bar,lei a un a al bar
"Certo volentieri, io lo prendero macchiato",certo io io lo prego mactato
A che ora arriva il pullman,rerara va a plaze
Dovrebbe arrivare tra qualche minuto,doerebrarivae a vuole minuto
Quanto costa il biglietto,un costa io biglietto
Purtroppo non lo so pero potresti chiedere all autista,puruopo non io so so potresti shiere autista
Va bene grazie lo stesso,va un io e a a tedseso
Prego,prego
Perfetto vorrei comprarne due.,peretbio lo combian un
Certo ecco a lei vuole un sacchetto,certo a un vuole a saceto
Si grazie e arrivederci,si e e arivedei
Le auguro una buona giornata,e euro un io giornata
Buongiorno io sono Mario,buona io io
Buonasera io sono Mario,buonserioson mario
Piacere Luigi come stai,piacere un io si stai
Tutto bene tu,tutto bene io
