Truth,Decoded
Salve quanto costa quell articolo,lo tutto il lo articolo
E in offerta costa dieci euro,le ora costa diecieuro
Tutto bene grazie,io bene grazie
Prendiamo un caffe al bar,prego un che lo bar
"Certo volentieri, io lo prendero macchiato",certo coentiei io lo prendero macchiato
A che ora arriva il pullman,a e a arriva lo pullman
Dovrebbe arrivare tra qualche minuto,dovrebbe rivre a che minuto
Quanto costa il biglietto,utntota io biglietto
Purtroppo non lo so pero potresti chiedere all autista,purtoropronon lo so pero potri si che lo autista
Va bene grazie lo stesso,va bene grazie lo sono
Prego,prego
Perfetto vorrei comprarne due.,peretororo crocue
Certo ecco a lei vuole un sacchetto,certo io a le vuole a sacchetto
Si grazie e arrivederci,si e e arivedri
Le auguro una buona giornata,leaguro un buona giornata
Buongiorno io sono Mario,buona io sono mario
Buonasera io sono Mario,buonasera io sono mario
Piacere Luigi come stai,piaereuigi io stai
Tutto bene tu,tutto bene tu
