Truth,Decoded
Salve quanto costa quell articolo,all costa il lo rocolo
E in offerta costa dieci euro,lei ora costa dieci euro
Tutto bene grazie,io bene grazie
Prendiamo un caffe al bar,prego un che al bar
"Certo volentieri, io lo prendero macchiato",certo volentieri io lo prendero macchiato
A che ora arriva il pullman,a e a arriva lo pullman
Dovrebbe arrivare tra qualche minuto,dovrebbe rivre a qualche minuto
Quanto costa il biglietto,quanto ora si biglietto
Purtroppo non lo so pero potresti chiedere all autista,purtroppo un io so pero potredhiedere lo autista
Va bene grazie lo stesso,va bene grazie lo stesso
Prego,prego
Perfetto vorrei comprarne due.,certo vorrei croecue
Certo ecco a lei vuole un sacchetto,certo io a le vuole a sacchetto
Si grazie e arrivederci,si e e arrivederci
Le auguro una buona giornata,auguro un buona giornata
Buongiorno io sono Mario,buongiorno io sono mario
Buonasera io sono Mario,buonasera io sono mario
Piacere Luigi come stai,piacere luigi come stai
Tutto bene tu,io bene tu
