Truth,Decoded
Salve quanto costa quell articolo,salve quanto costa il articolo
E in offerta costa dieci euro,pero rtroti diecriciuto
Tutto bene grazie,tutto bene grazie
Prendiamo un caffe al bar,prego io un che al bar
"Certo volentieri, io lo prendero macchiato",certo voetiri io lo prendero macchiato
A che ora arriva il pullman,e oarari va il due
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra qace minuto
Quanto costa il biglietto,quanto costa il biglietto
Purtroppo non lo so pero potresti chiedere all autista,puropo non io so io potresti chiedere lo autista
Va bene grazie lo stesso,va bene io grazie e lo stesso
Prego,prego
Perfetto vorrei comprarne due.,peretvorori comprarne un
Certo ecco a lei vuole un sacchetto,certo a si vuole un saceto
Si grazie e arrivederci,si grazie e arivededei
Le auguro una buona giornata,le auguro una buona giornata
Buongiorno io sono Mario,buongiorno io so si mario
Buonasera io sono Mario,buonseraio sono mario
Piacere Luigi come stai,piacere luigi come stai
Tutto bene tu,tutto bene tu
